id,name,gender,number,output
981,Dore,Male,47,1
982,Creight,Male,97,1
983,Lynnett,Female,52,1
984,Bertie,Male,70,1
985,Knox,Male,72,1
986,Mac,Genderfluid,68,0
987,Fionna,Female,24,1
988,Jesse,Male,44,1
989,Victoria,Female,46,1
990,Dallis,Male,31,0
991,Karolina,Female,43,0
992,Garold,Male,12,1
993,Pepito,Male,71,0
994,Rockie,Male,28,0
995,Gasper,Male,57,1
996,Filippa,Female,32,0
997,Chelsie,Female,72,0
998,Wilhelm,Male,56,1
999,Demetri,Male,64,1
1000,Aubrey,Male,87,1
